,TIMESTAMP,INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PRICE,OPTION_TYPE,MARKET_TYPE,OPENING_PRICE,TRADE_HIGH_PRICE,TRADE_LOW_PRICE,CLOSING_PRICE,LAST_TRADED_PRICE,PREV_CLS,SETTLE_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,OPEN_INT,CHANGE_IN_OI,MARKET_LOT,UNDERLYING_VALUE,Ticker,Asset Type
0,01-Apr-2010,FUTIDX,NIFTY,24-Jun-2010,0,XX,N,5288.65,5325,5284,5315.3,5312.1,5265.5,5315.3,33300,176690170,489150,15650,50,5290.5,NIFTY,Index
1,01-Apr-2010,FUTIDX,NIFTY,27-May-2010,0,XX,N,5280,5324,5279.2,5312.15,5308.2,5267.35,5312.15,654650,3466843060,1547650,-202150,50,5290.5,NIFTY,Index
2,01-Apr-2010,FUTIDX,NIFTY,29-Apr-2010,0,XX,N,5286.1,5319.75,5276.05,5306.8,5304.95,5261.6,5306.8,13479450,71392775420,23768900,430200,50,5290.5,NIFTY,Index
3,31-Mar-2010,FUTIDX,NIFTY,24-Jun-2010,0,XX,N,5285.55,5300.85,5252,5265.5,5270,5283.4,5265.5,323800,1709750610,473500,306650,50,5249.1,NIFTY,Index
4,31-Mar-2010,FUTIDX,NIFTY,27-May-2010,0,XX,N,5292,5299.95,5250,5267.35,5268.9,5279.2,5267.35,436200,2300909837.5,1749800,66650,50,5249.1,NIFTY,Index
5,31-Mar-2010,FUTIDX,NIFTY,29-Apr-2010,0,XX,N,5279,5296.1,5245,5261.6,5263.95,5273.9,5261.6,21837450,115084109340,23338700,-64750,50,5249.1,NIFTY,Index
6,30-Mar-2010,FUTIDX,NIFTY,24-Jun-2010,0,XX,N,5330,5336.75,5273,5283.4,5274,5325,5283.4,20800,110323427.5,166850,11200,50,5262.45,NIFTY,Index
7,30-Mar-2010,FUTIDX,NIFTY,27-May-2010,0,XX,N,5328,5333.95,5268.35,5279.2,5270.5,5324.6,5279.2,362200,1921959382.5,1683150,68050,50,5262.45,NIFTY,Index
8,30-Mar-2010,FUTIDX,NIFTY,29-Apr-2010,0,XX,N,5324.9,5331,5263.25,5273.9,5265.5,5318.8,5273.9,17722750,93953282922.5,23403450,-499700,50,5262.45,NIFTY,Index
9,29-Mar-2010,FUTIDX,NIFTY,24-Jun-2010,0,XX,N,5296,5346.8,5285.05,5325,5330,5301.8,5325,49500,263465692.5,155650,35900,50,5302.85,NIFTY,Index
10,29-Mar-2010,FUTIDX,NIFTY,27-May-2010,0,XX,N,5290.55,5346.7,5281.55,5324.6,5327.9,5300.5,5324.6,649450,3457493627.5,1615100,103900,50,5302.85,NIFTY,Index
11,29-Mar-2010,FUTIDX,NIFTY,29-Apr-2010,0,XX,N,5291.5,5344,5279.4,5318.8,5322.2,5296.95,5318.8,16232850,86368959530,23903150,797250,50,5302.85,NIFTY,Index
12,26-Mar-2010,FUTIDX,NIFTY,24-Jun-2010,0,XX,N,5279.9,5310.45,5278.7,5301.8,5296.7,5335.85,5301.8,128850,681458652.5,119750,119750,50,5282,NIFTY,Index
13,26-Mar-2010,FUTIDX,NIFTY,27-May-2010,0,XX,N,5272,5311,5272,5300.5,5296,5274.35,5300.5,388250,2056482515,1511200,138750,50,5282,NIFTY,Index
14,26-Mar-2010,FUTIDX,NIFTY,29-Apr-2010,0,XX,N,5276,5309.9,5272.6,5296.95,5292,5273,5296.95,15958950,84487100872.5,23105900,1602900,50,5282,NIFTY,Index
15,25-Mar-2010,FUTIDX,NIFTY,25-Mar-2010,0,XX,N,5214.95,5263.9,5204,5260.65,5260.65,5226.7,5260.4,21269100,111167467917.5,11940200,-4062050,50,5260.4,NIFTY,Index
16,25-Mar-2010,FUTIDX,NIFTY,27-May-2010,0,XX,N,5230.05,5284.35,5219,5274.35,5277.5,5240.05,5274.35,231750,1215583825,1372450,137800,50,5260.4,NIFTY,Index
17,25-Mar-2010,FUTIDX,NIFTY,29-Apr-2010,0,XX,N,5227.85,5282,5216,5273,5277,5239,5273,15992850,83856958312.5,21503000,5341650,50,5260.4,NIFTY,Index
18,23-Mar-2010,FUTIDX,NIFTY,25-Mar-2010,0,XX,N,5234.7,5241.9,5193.6,5226.7,5225.5,5213.3,5226.7,25311450,132207123930,16002250,-2382750,50,5225.3,NIFTY,Index
19,23-Mar-2010,FUTIDX,NIFTY,27-May-2010,0,XX,N,5240,5250,5208,5240.05,5241.8,5218.7,5240.05,244850,1281647627.5,1234650,104350,50,5225.3,NIFTY,Index
20,23-Mar-2010,FUTIDX,NIFTY,29-Apr-2010,0,XX,N,5232.1,5250,5205.1,5239,5239,5217.05,5239,11456800,59963935142.5,16161350,5129500,50,5225.3,NIFTY,Index
21,22-Mar-2010,FUTIDX,NIFTY,25-Mar-2010,0,XX,N,5200.3,5259.9,5180,5213.3,5207,5274.7,5213.3,25094000,131320172475,18385000,-3673050,50,5205.2,NIFTY,Index
22,22-Mar-2010,FUTIDX,NIFTY,27-May-2010,0,XX,N,5210.1,5262,5210,5218.7,5213.95,5277,5218.7,170000,889867725,1130300,14700,50,5205.2,NIFTY,Index
23,22-Mar-2010,FUTIDX,NIFTY,29-Apr-2010,0,XX,N,5210,5263.9,5207,5217.05,5210,5277.45,5217.05,8256650,43260879552.5,11031850,4105750,50,5205.2,NIFTY,Index
24,19-Mar-2010,FUTIDX,NIFTY,25-Mar-2010,0,XX,N,5255.25,5281.9,5248.1,5274.7,5269.6,5254.15,5274.7,15378400,80943018767.5,22058050,-293250,50,5262.8,NIFTY,Index
25,19-Mar-2010,FUTIDX,NIFTY,27-May-2010,0,XX,N,5274.7,5288.8,5252,5277,5270.35,5254.7,5277,73000,384310035,1115600,30650,50,5262.8,NIFTY,Index
26,19-Mar-2010,FUTIDX,NIFTY,29-Apr-2010,0,XX,N,5257.5,5284.55,5251,5277.45,5272.4,5255.9,5277.45,2659300,13997980035,6926100,1478000,50,5262.8,NIFTY,Index
