,Symbol,Series,Date,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty,Ticker,Asset Type
176,NIFTYBEES,EQ,26-Apr-2024,249.27,248.58,250.88,248.05,248.8,248.44,248.89,"29,66,668","73,83,74,711.64","30,028","22,29,822",75.16,NIFTYBEES,ETF
177,NIFTYBEES,EQ,29-Apr-2024,248.44,246.3,251.4,246.3,250.25,250.59,249.87,"24,88,639","62,18,41,577.36","34,664","17,92,967",72.05,NIFTYBEES,ETF
178,NIFTYBEES,EQ,30-Apr-2024,250.59,252.99,252.99,247.01,249.98,250.06,251.04,"42,22,247","1,05,99,53,255.85","31,208","32,06,859",75.95,NIFTYBEES,ETF
179,NIFTYBEES,EQ,02-May-2024,250.06,250.99,251.3,249.05,250.89,250.84,250.79,"22,07,630","55,36,59,148.97","46,899","13,24,334",59.99,NIFTYBEES,ETF
180,NIFTYBEES,EQ,03-May-2024,250.84,252.57,252.58,247.66,248.8,248.75,249.1,"53,20,196","1,32,52,80,419.83","67,802","35,50,805",66.74,NIFTYBEES,ETF
181,NIFTYBEES,EQ,06-May-2024,248.75,250.99,250.99,248.0,248.5,248.37,248.81,"30,73,791","76,47,86,922.47","50,180","19,15,676",62.32,NIFTYBEES,ETF
182,NIFTYBEES,EQ,07-May-2024,248.37,253.89,253.89,245.25,247.37,247.11,247.16,"41,33,952","1,02,17,67,916.41","44,382","33,04,781",79.94,NIFTYBEES,ETF
183,NIFTYBEES,EQ,08-May-2024,247.11,249.89,249.89,245.12,247.6,247.24,247.01,"36,89,202","91,12,65,267.54","30,693","28,34,485",76.83,NIFTYBEES,ETF
184,NIFTYBEES,EQ,09-May-2024,247.24,247.87,247.87,243.2,243.79,243.49,244.6,"72,56,780","1,77,50,44,470.84","88,793","59,60,910",82.14,NIFTYBEES,ETF
185,NIFTYBEES,EQ,10-May-2024,243.49,244.01,245.67,243.08,245.1,244.97,244.77,"46,16,640","1,13,00,09,329.89","49,051","37,86,837",82.03,NIFTYBEES,ETF
186,NIFTYBEES,EQ,13-May-2024,244.97,252.3,252.3,242.27,245.48,245.16,243.7,"52,78,644","1,28,64,28,725.87","56,938","37,75,295",71.52,NIFTYBEES,ETF
187,NIFTYBEES,EQ,14-May-2024,245.16,249.89,249.89,243.7,247.0,246.61,246.27,"26,97,896","66,44,22,672.16","26,227","20,54,782",76.16,NIFTYBEES,ETF
188,NIFTYBEES,EQ,15-May-2024,246.61,249.59,249.59,245.0,246.55,246.42,246.39,"35,75,694","88,10,14,873.64","27,792","28,94,550",80.95,NIFTYBEES,ETF
189,NIFTYBEES,EQ,16-May-2024,246.42,247.99,248.5,244.91,248.49,248.18,246.47,"55,22,327","1,36,10,62,346.26","38,602","35,16,083",63.67,NIFTYBEES,ETF
190,NIFTYBEES,EQ,17-May-2024,248.18,249.99,249.99,247.01,248.85,248.73,248.52,"22,52,484","55,97,85,770.70","23,606","15,77,637",70.04,NIFTYBEES,ETF
191,NIFTYBEES,EQ,18-May-2024,248.73,250.99,255.0,248.01,249.0,249.05,249.1,"4,73,819","11,80,26,857.33","5,346","3,75,599",79.27,NIFTYBEES,ETF
192,NIFTYBEES,EQ,21-May-2024,249.05,247.48,250.25,247.48,249.4,249.74,249.54,"24,40,079","60,88,91,487.60","39,882","14,76,894",60.53,NIFTYBEES,ETF
193,NIFTYBEES,EQ,22-May-2024,249.74,250.99,250.99,249.29,250.35,250.36,250.06,"20,04,555","50,12,51,245.18","27,894","13,91,248",69.4,NIFTYBEES,ETF
194,NIFTYBEES,EQ,23-May-2024,250.36,251.99,254.74,249.55,254.39,254.29,252.57,"43,72,965","1,10,44,80,062.38","48,144","33,66,390",76.98,NIFTYBEES,ETF
195,NIFTYBEES,EQ,24-May-2024,254.29,254.67,255.71,253.08,254.99,254.98,254.8,"39,97,986","1,01,86,76,928.59","33,352","28,32,436",70.85,NIFTYBEES,ETF
196,NIFTYBEES,EQ,27-May-2024,254.98,254.18,256.76,254.01,255.02,254.72,255.56,"46,92,320","1,19,91,90,024.31","43,400","35,18,956",74.99,NIFTYBEES,ETF
197,NIFTYBEES,EQ,28-May-2024,254.72,255.57,255.58,254.0,254.05,254.2,254.77,"39,48,285","1,00,58,91,416.24","28,898","31,20,078",79.02,NIFTYBEES,ETF
198,NIFTYBEES,EQ,29-May-2024,254.2,253.88,253.98,252.1,252.58,252.37,252.82,"90,56,708","2,28,97,47,662.31","45,525","74,50,869",82.27,NIFTYBEES,ETF
199,NIFTYBEES,EQ,30-May-2024,252.37,253.85,253.85,249.51,251.0,250.35,250.58,"1,19,38,743","2,99,16,53,052.36","54,986","1,08,57,243",90.94,NIFTYBEES,ETF
200,NIFTYBEES,EQ,31-May-2024,250.35,251.67,252.12,250.0,251.25,251.15,251.03,"93,90,922","2,35,74,49,518.17","41,293","77,99,698",83.06,NIFTYBEES,ETF
201,NIFTYBEES,EQ,03-Jun-2024,251.15,258.7,265.0,252.3,258.3,258.14,257.87,"1,20,24,096","3,10,06,49,227.02","88,533","82,10,017",68.28,NIFTYBEES,ETF
202,NIFTYBEES,EQ,04-Jun-2024,258.14,259.87,260.28,246.5,252.0,250.48,250.16,"3,24,96,763","8,12,93,03,022.61","2,32,259","2,16,92,672",66.75,NIFTYBEES,ETF
203,NIFTYBEES,EQ,05-Jun-2024,250.48,253.99,254.35,242.13,250.95,251.3,247.08,"1,29,06,944","3,18,90,05,669.46","1,17,067","70,08,794",54.3,NIFTYBEES,ETF
204,NIFTYBEES,EQ,06-Jun-2024,251.3,252.99,254.1,250.01,253.3,252.98,252.8,"1,03,76,673","2,62,32,21,406.10","57,488","68,72,857",66.23,NIFTYBEES,ETF
205,NIFTYBEES,EQ,07-Jun-2024,252.98,253.88,258.81,252.19,258.1,258.42,256.16,"1,03,60,501","2,65,39,33,527.57","54,718","73,74,273",71.18,NIFTYBEES,ETF
206,NIFTYBEES,EQ,10-Jun-2024,258.42,259.45,259.62,257.4,257.94,257.94,258.8,"67,36,253","1,74,33,20,076.07","54,548","44,45,415",65.99,NIFTYBEES,ETF
207,NIFTYBEES,EQ,11-Jun-2024,257.94,258.35,259.62,257.02,258.72,258.8,258.77,"52,02,122","1,34,61,65,184.74","38,832","30,48,764",58.61,NIFTYBEES,ETF
208,NIFTYBEES,EQ,12-Jun-2024,258.8,261.99,261.99,257.85,259.42,259.39,259.44,"44,55,590","1,15,59,72,326.72","33,818","28,84,003",64.73,NIFTYBEES,ETF
209,NIFTYBEES,EQ,13-Jun-2024,259.39,260.0,260.74,259.28,260.19,260.3,260.03,"33,90,549","88,16,50,552.60","28,743","22,97,117",67.75,NIFTYBEES,ETF
210,NIFTYBEES,EQ,14-Jun-2024,260.3,260.65,261.0,259.46,260.83,260.65,260.37,"32,45,931","84,51,30,630.73","31,406","23,72,518",73.09,NIFTYBEES,ETF
211,NIFTYBEES,EQ,18-Jun-2024,260.65,260.68,262.5,260.65,261.6,261.56,261.51,"38,18,320","99,85,10,573.12","47,836","28,88,463",75.65,NIFTYBEES,ETF
212,NIFTYBEES,EQ,19-Jun-2024,261.56,262.5,262.68,260.11,261.28,261.38,261.56,"36,72,586","96,06,03,404.87","33,316","24,26,270",66.06,NIFTYBEES,ETF
213,NIFTYBEES,EQ,20-Jun-2024,261.38,261.95,262.35,260.48,261.84,261.72,261.34,"30,72,246","80,29,01,753.17","25,740","22,17,313",72.17,NIFTYBEES,ETF
214,NIFTYBEES,EQ,21-Jun-2024,261.72,263.99,263.99,260.01,260.92,260.87,261.36,"25,41,648","66,42,79,436.30","35,492","14,44,921",56.85,NIFTYBEES,ETF
215,NIFTYBEES,EQ,24-Jun-2024,260.87,260.49,261.94,259.1,261.65,261.66,260.88,"35,09,413","91,55,34,046.34","36,380","23,25,450",66.26,NIFTYBEES,ETF
216,NIFTYBEES,EQ,25-Jun-2024,261.66,262.35,263.9,255.0,263.35,263.59,262.85,"30,82,603","81,02,62,506.64","30,436","20,11,198",65.24,NIFTYBEES,ETF
217,NIFTYBEES,EQ,26-Jun-2024,263.59,264.78,265.25,262.18,264.9,265.01,264.64,"47,30,569","1,25,18,87,350.53","33,810","37,17,975",78.59,NIFTYBEES,ETF
218,NIFTYBEES,EQ,27-Jun-2024,265.01,264.76,267.44,264.4,266.97,266.95,265.98,"43,84,721","1,16,62,59,116.07","37,409","27,50,210",62.72,NIFTYBEES,ETF
219,NIFTYBEES,EQ,28-Jun-2024,266.95,267.88,268.5,266.95,267.5,267.48,267.97,"30,80,540","82,55,03,008.07","35,271","20,96,101",68.04,NIFTYBEES,ETF
220,NIFTYBEES,EQ,01-Jul-2024,267.48,267.99,269.0,267.0,268.45,268.3,268.26,"26,11,003","70,04,36,375.70","64,420","16,10,556",61.68,NIFTYBEES,ETF
221,NIFTYBEES,EQ,02-Jul-2024,268.3,271.99,271.99,268.05,269.13,269.03,268.87,"30,63,439","82,36,56,950.77","64,095","19,58,595",63.93,NIFTYBEES,ETF
222,NIFTYBEES,EQ,03-Jul-2024,269.03,269.38,271.38,269.15,270.48,270.23,270.12,"20,95,570","56,60,55,946.33","41,106","13,40,112",63.95,NIFTYBEES,ETF
223,NIFTYBEES,EQ,04-Jul-2024,270.23,271.49,271.7,270.18,270.73,270.53,270.86,"25,63,485","69,43,35,759.69","39,911","16,62,341",64.85,NIFTYBEES,ETF
224,NIFTYBEES,EQ,05-Jul-2024,270.53,271.99,271.99,269.31,270.97,270.53,270.15,"39,71,873","1,07,30,13,173.87","50,731","27,97,061",70.42,NIFTYBEES,ETF
225,NIFTYBEES,EQ,08-Jul-2024,270.53,270.12,271.45,269.6,270.25,270.04,270.06,"26,32,351","71,08,86,885.68","52,124","17,23,337",65.47,NIFTYBEES,ETF
226,NIFTYBEES,EQ,09-Jul-2024,270.04,270.19,271.49,269.62,271.35,271.38,270.94,"26,27,020","71,17,69,018.20","33,679","20,39,952",77.65,NIFTYBEES,ETF
227,NIFTYBEES,EQ,10-Jul-2024,271.38,272.28,272.28,268.61,270.59,270.92,270.2,"37,95,056","1,02,54,21,405.28","51,583","26,67,934",70.3,NIFTYBEES,ETF
228,NIFTYBEES,EQ,11-Jul-2024,270.92,274.99,274.99,269.52,270.8,270.75,270.52,"18,88,571","51,08,94,407.87","35,649","11,71,262",62.02,NIFTYBEES,ETF
229,NIFTYBEES,EQ,12-Jul-2024,270.75,271.59,273.0,270.62,272.0,271.94,272.04,"35,30,285","96,03,87,995.47","30,025","25,70,626",72.82,NIFTYBEES,ETF
230,NIFTYBEES,EQ,15-Jul-2024,271.94,271.5,273.88,271.5,273.18,273.09,273.17,"24,27,339","66,30,70,248.03","40,049","16,60,169",68.39,NIFTYBEES,ETF
231,NIFTYBEES,EQ,16-Jul-2024,273.09,273.19,274.15,272.4,273.73,273.55,273.68,"18,24,955","49,94,59,587.69","30,199","11,56,741",63.38,NIFTYBEES,ETF
232,NIFTYBEES,EQ,18-Jul-2024,273.55,274.99,275.82,272.1,275.4,275.51,273.96,"38,67,728","1,05,96,01,577.55","46,967","24,76,944",64.04,NIFTYBEES,ETF
